"","X","modl","cn_coupled","veg_demo","l_npp_gpp_50","l_npp_gpp_iqr","l_cveg_star_npp_50","l_cveg_star_npp_iqr","l_croot_cveg_50","l_croot_cveg_iqr","l_croot_cveg_star_50","l_croot_cveg_star_iqr","l_cleaf_cveg_star_50","l_cleaf_cveg_star_iqr","l_cwood_cveg_50","l_cwood_cveg_iqr"
"1",1,"ALL",NA,NA,1.02300392532891,0.212826243415928,0.995355400776496,0.728167198846573,1.02319658542966,0.355484884329131,0.905763666088481,0.376859439495622,0.783383815366803,0.707197837017384,0.971072336152145,0.240814962235632
"2",2,"CLASSIC",FALSE,FALSE,1.08912828892269,0.269260885987939,1.112082495185,0.791512912713902,0.967152780584965,0.365066078980124,0.87749491482255,0.459270484642835,0.588376011027482,0.438382043607982,1.02015753976495,0.511360900376726
"3",3,"IBIS",FALSE,FALSE,1.00046357260985,0.0854714165633357,0.928106622680982,0.456253257756473,1.16333729467015,0.800098999620764,1.01717761866266,0.580183615834012,1.03539506046388,0.58149581525126,0.979960619621418,0.0160530451204655
"4",4,"LPJ",FALSE,FALSE,1.21909548894154,0.351213700835611,1.57088333488194,2.26915875423637,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"ORCHIDEE",TRUE,FALSE,0.963994052908259,0.18033203878899,1.03770993019984,0.585865473764906,0.97471404694388,0.232294485062079,0.834687105933243,0.236160634321277,1.08114926448628,0.664567531783738,0.931248171007401,0.265614009044323
"6",6,"VISIT",FALSE,FALSE,1.05100078920005,0.113523695177568,0.963098678023579,0.574546564116653,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"ISBA-CTRIP",FALSE,FALSE,0.984549147766662,0.111192411848089,0.727694033858225,0.455820565927813,0.95763431118172,0.323993230804033,0.811136039591306,0.338249371606498,0.490892484741869,0.249939852791277,0.997795987681285,0.051512688933115
"8",8,"CABLE-POP",TRUE,TRUE,0.996795435513805,0.398851942525447,1.19543123233801,0.706980825544926,1,0.0242135594736516,0.882895470333667,0.190510960074852,0.652335422190906,0.30850412604667,1.01563913418153,0.0483739387320683
"9",9,"CLM5.0",TRUE,FALSE,0.944856530024543,0.386220229740222,1.02118621563554,0.852006241091843,1.02162474663893,0.239291043379104,0.809458424373076,0.298345597865486,1.2538026573632,0.933404979639171,0.986740612009643,0.186413959713774
"10",10,"DLEM",TRUE,FALSE,0.982029889429205,0.0909430316738054,1.07901630807701,0.276609275028006,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"ISAM",TRUE,FALSE,1.01660323189069,0.112777480153666,0.94325845990544,0.301274608005584,1.19046515421381,0.263137992129226,1.02701521990149,0.281136019156513,NA,NA,0.92238051302,0.497762463521842
"12",12,"JSBACH",TRUE,FALSE,1.2967533901518,0.408045035566389,0.917119305785356,0.988467999834042,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"JULES",TRUE,FALSE,0.982091342705641,0.348720164561167,0.599948381966888,0.585500973185813,0.751493143948404,0.43417260865959,0.685193652095511,0.489625820128027,0.685193439544867,0.489625788371267,1.02876323676561,0.444976393403758
"14",14,"LPJ-GUESS",TRUE,TRUE,1.0601465944983,0.298333576344745,0.985617430983608,1.19083452268416,NA,NA,NA,NA,0.646707248936163,0.790258423723628,1.09328281747627,0.978550013312867
"15",15,"LPX-Bern",TRUE,FALSE,0.913195283806425,0.297581721004715,0.614108103931964,0.712676513217759,1.02594041676507,1.04620187401926,0.989937130648598,0.991034511861272,1.10088514949288,1.10953271283845,0.973881289229622,0.204723951764209
"16",16,"VISIT-NIES",FALSE,FALSE,1.05521203690597,0.119127921491467,0.90852404809587,0.489808755988358,1.16787448136303,0.423539836758645,1.04920914794709,0.388805533626326,0.829022249025815,0.52039492350583,0.948003649145892,0.238639133517074
"17",17,"SDGVM",TRUE,TRUE,1.00544690561148,0.215730503045881,1.53729537814635,0.573418212680304,0.995575687583788,0.0754686314196823,0.879820677834341,0.269416526590516,NA,NA,NA,NA
