"","modl","CN_coupled","Veg_Demo","R_cveg_median","R_cveg_IQR","R_cveg_ag_median","R_cveg_ag_IQR","R_npp_median","R_npp_IQR","R_gpp_median","R_gpp_IQR","R_cleaf_median","R_cleaf_IQR","R_cveg_star_median","R_cveg_star_IQR","R_croot_median","R_croot_IQR","l_npp_gpp_median","l_npp_gpp_IQR","l_croot_cveg_median","l_croot_cveg_IQR","l_croot_cveg_star_median","l_croot_cveg_star_IQR","l_cveg_star_npp_median","l_cveg_star_npp_IQR","l_cleaf_cveg_median","l_cleaf_cveg_IQR"
"1","ALL",NA,NA,0.221131940496272,0.252459096591708,0.188514412257886,0.281952457893179,0.238493191185669,0.276865714112551,0.234589845758112,0.251953494448588,0.166163387538043,0.250504698279387,0.249854431248002,0.275708545903193,0.20628628664847,0.249352434726625,1.0221365637192,0.21657010780993,1.00438314927737,0.315039921554659,0.905593468867522,0.37425836749586,0.996900462116868,0.729190596928966,0.878651241894506,0.810692522039985
"2","C only models",NA,NA,0.20476681635068,0.24293996891779,0.171603011159719,0.20675346181351,0.217125120311788,0.291368021604,0.200876835674014,0.263318265092823,0.138804872167707,0.173433735974203,0.233802343419075,0.276538928272783,0.202768403133605,0.226045426174168,1.0428321362666,0.175293920906248,1.03596187279382,0.473071564365487,0.971156555803483,0.463234695669787,0.947886243546503,0.684378384723077,0.804677839445574,0.631023939397358
"3","CN coupled models",NA,NA,0.230413241529381,0.258916697958904,0.212157395098139,0.352771031815433,0.248887810056583,0.267506223534101,0.252011031449457,0.241433788090183,0.206288256147382,0.312993240601356,0.259449596507399,0.276660670878171,0.208654517994341,0.263002128528117,0.999999836354332,0.258028615052648,1,0.225868479627091,0.877549241992056,0.328116479089765,1.03381405728918,0.741397322290578,0.916411827195502,0.91973301074777
"4","Veg Demo",NA,NA,0.213644460837802,0.250802444377748,0.318595636572291,0.425003178787721,0.180076894759272,0.240346338703339,0.195415793854437,0.239079559299715,0.227260362935919,0.272583316748533,0.230678580588387,0.269028397473193,0.213841964413912,0.244299240677189,1.01978669627529,0.290803546442004,1,0.041247532910927,0.882107449094728,0.228654078948418,1.29194547466977,0.819405567277599,0.72572714340274,0.536601622276248
"5","not Veg Demo",NA,NA,0.222706392294084,0.255422711558034,0.171575862762112,0.23773027847038,0.252243339903362,0.279050342022992,0.243460837175922,0.252793949135283,0.156274056519606,0.239611082405957,0.254432157511721,0.279370902864559,0.204195279941183,0.258621469213772,1.02253128781813,0.20333287346384,1.0116246296077,0.426214272801088,0.914984725356202,0.435027801235729,0.949176156995495,0.651152452574687,0.936354473262926,0.867849477511945
"6","CLASSIC","No","No",0.14096851471963,0.350508706024017,0.15351315040553,0.365675160784343,0.114530677153516,0.282194878429427,0.108917812496453,0.234955296685665,0.0928099576561852,0.244592231739595,0.143030450951295,0.382598989002096,0.121912843237823,0.332177757295783,1.08496598526271,0.270889419416425,0.967152780584965,0.365066078980124,0.87749491482255,0.459270484642835,1.112082495185,0.791512912713902,0.623364687394901,0.461716127350073
"7","IBIS","No","No",0.118634062331817,0.112425419100261,0.123136847094274,0.124548669404019,0.167649091758694,0.161752568139539,0.16748709949272,0.16089970376121,0.164280756893705,0.153915042373284,0.141826437723117,0.131271882615023,0.162441903522121,0.158818741517778,1.00035134038741,0.0860385527612282,1.16333729467015,0.800098999620764,1.01717761866266,0.580183615834012,0.928106622680982,0.456253257756473,1.28933837030322,0.818406782485662
"8","LPJ","No","No",0.351985881882144,0.422577907145772,NA,NA,0.227337652775114,0.243640017054602,0.185838183872391,0.142983495924221,NA,NA,0.408074310197072,0.474284630624021,NA,NA,1.21445036001357,0.361601792653672,NA,NA,NA,NA,1.57088333488194,2.26915875423637,NA,NA
"9","ORCHIDEE","Yes","No",0.288227896874309,0.292024263301695,0.271498838855034,0.312106095600086,0.288816191371406,0.369377486864548,0.306081027858848,0.395429665096548,0.347085642466544,0.393957630901417,0.326155672719777,0.322929921767616,0.278730921272451,0.320958895948021,0.961085941544266,0.181706781910105,0.97471404694388,0.232294485062079,0.834687105933243,0.236160634321277,1.03770993019984,0.585865473764906,1.22551498102545,0.787418292419511
"10","VISIT","No","No",0.18692372334192,0.257432391497974,NA,NA,0.180058928139212,0.279501461415595,0.170481722826186,0.253012354294149,NA,NA,0.209678695677273,0.304950172476329,NA,NA,1.05462230004216,0.127005387990241,NA,NA,NA,NA,0.963098338211941,0.574584894436354,NA,NA
